text,emotion
"I was unimpressed with the ambiance in the main dining area... Very sparse and you feel cut off from the rest of the place. Should be more open to the bar area where most of the people are and the action is. The food was decent, but pricey. The regular burgers were good... Great buns! But an up charge for cottage cheese??  I don't mind paying $10 for a burger if it's great and the atmosphere is enjoyable... But Not the case here. The cottage cheese was listed as one of the side options, so makes no sense that there was an extra $1 charge! Our waitress was very nice and attentive, but food delivery was slow (kitchen issue, not a service issue). I think they missed the mark in the way the restaurant was laid out. Not sure I'd go back except to be in the bar area and watch sports. Needs a patio too!",neutral
i had a pretty trying adolescence and any time im put into a situation where im made to feel inadequate it makes me revert right back into the shy awkward teenager with low self esteem that i was in high school,sadness
i don t feel treasured i don t feel loved,happiness
i realize now that if i even remotely reached one person with that song or any of my songs for that matter that everything will have been worth it there are people out there who are loved obsessed or complete sluts or feel horny and want to take off all their clothes,happiness
I'm getting really irritated with this gym. I was doing the 30 minute express workout area in ORDER like you suppose to do.  I was almost finished and the dude plops down on the machine I was supposed to be on and just sits there and texts. (This is not the first time this has happened) he didn't even do anything let alone go in ORDER when you're supposed to.  I asked him to move nicely and he said he didn't speak English.  That's besides the point.  So I lost out on doing the orderly fashion of a simple workout that was intended to be only in ORDER. PLEASE FIX THIS.,neutral
i feel frightened for her,worry
i guess a lot of her is pretty high even though i can feel her hiccups and im guessing hand and arm movement low,sadness
i love my eyes and i think the rest of my face comments them as well but i feel like people overlook the face i have and are distracted by my body,hate
"Loved the clean feel and open space. I came for coffee and some friends got more custom coffees and breakfast food. I found the service to be ok, but they were either understaffed or not communicating well. My iced coffee wasn't made and I had to ask after the sandwiches were made for it to be made. Breakfast sandwich options aren't easily visible/seen on the menu. The sandwiches were all very greasy, too. The center area with gifts and coffee was really cute... a little on the higher end of price for the items, though. The high point is the pastry window. The macaroons are gluten free and got high marks. Might be better with a little work on the service and delivery. Oh, and they're closed Sundays.",neutral
The service here is a little slow but their happy hour I decent. I really like thief chicken strip appetizer and their club sandwiches! All of their drink specials are yummy! Gotta try at least one! My favorite is the Mai Tai! Presentation is awesome when they serve you the drink.,neutral
This night club is one of the best in Vegas. You have more room to dance then most but it has gone down hill since it opened. If you don't have a table they don't have the best customer service towards you.,neutral
i feel relieved that there is not a medical issue here but at the same time am anxious about how this will play out with kindergarten,fun
"The Korean apeitizers are plentiful and taste good.  This Is a BBQ place with the cook top grill.  So definitely needed to try that. Pretty good marinated beef ribs.  The service was very friendly to say the least.  The server recommend dishes and checked on out table quite often, maybe because the restaurant was not full for a Saturday night dinner.  Parking is ample in the plaza.",neutral
i do all these things is to feel abolutely even fabulous on the inside,fun
i feel like i had a lovely energy and stimulating together with good food will be this time,happiness
i had a tea with tumeric and black pepper and took home some lavender tea and the wine lovers brew though i feel i should add i am not loving the wine as much as i once did,happiness
i feel like the only thing i can do sometimes is just be supportive and be there but i never feel like thats enough,happiness
i feel so naughty peeking at their panties but i can t stop myself,happiness
i know however that i cannot control how people feel about me i am not universally liked to my great chagrin,happiness
i have aspergers syndrome and i feel apprehensive when i converse in with my parents or teachers for help,worry
i feel a little dull,sadness
i feel bitter at times,hate
"I believe in giving the good with the bad when it comes to reviews and I hope that this will help others make a more informed decision.  I should probably give some background to other hotels we've stayed at on The Strip so you have a point of reference:  The MGM Grand, New York New York, The Venetian, Caesar's Palace, and The Luxor.  For the record, I would stay at the Flamingo 100 times before I would go back to the Luxor, but that place was awful.  We've also stayed at a couple of the Hilton Grand Vacations on or very near the strip as well.  I'll start with the good.  If you've ever been to the Las Vegas Strip, you know how awesome The Flamingo is located.  Regardless of the accommodations, you have to appreciate how centrally it is located.  Our experience with the hotel staff (as opposed to the dealers) was overwhelmingly positive.  They didn't do anything extraordinary to set themselves apart but they acted in ways that reflected positively on the hotel.  Now the not-so-great.  First, it should be noted that as of May 2018 the Flamingo appears to be going through a big renovation and when you book you can either book one of those newer rooms or one of the older rooms.  I opted for the latter but on reflection I probably made a poor choice.  Would I have had a different experience in one of the renovated rooms?  I'm not sure, but the Studio King we reserved was underwhelming.  The room size was nice, with a large living area set aside from the bedroom (which had no windows, a big plus).  But the room was beyond sad.  The carpet had not been cleaned in a generation or two and the stains were so bad my wife refused to walk on it barefoot.  The light when you walked in didn't work and was not repaired while we were there.  The room had two telephones, one of which did not work when we arrived but was quickly replaced (like in 10 minutes or so -- very quick).  When you looked at the ventilation you saw what appeared to be decades of caked-on dust and debris -- it was disgusting.  And the bathroom was so small that two people could not fit unless one was taking a shower (which dripped constantly and was prone to leaking more when the water was turned on upstairs).  In all fairness the bedroom was so far away that you could not hear it while you were trying to sleep.  However, the bed was so uncomfortable that we got very little sleep.  I know that bed comfortableness is a personal thing; these beds were FIRM.  If that's your jam, you will probably like these beds.  The sound-proofing of the rooms was also not particularly great.  This is another subjective thing but other hotels on the strip do a better job -- and you'll pay more for them as compared to the Flamingo.  The other underwhelming part of our trip was our universal -- and surprising -- negative experience with the dealers we interacted with.  I'm sure there are good one's there, but we didn't interact with any of them.  These people seemed dead on the inside and clearly were considering the bad decisions that led them to have to work in that casino.  By comparison, we also gambled at Harrah's a couple of doors down and had a very different experience overall, and they're both owned by the same company.    Overall our experience with the hotel was ""meh.""  Our friends wanted to stay here and we had a great time with them but there was nothing about our hotel experience, exclusive of the price, that would make me want to come back.  Looking back at this review maybe I should give two-stars but it was far from the worst hotel experience.  And I'm aware that we could have elected for one of the renovated rooms and I find it hard to judge them harshly when I made an informed decision, even if I regret that decision.",neutral
i go on a ghost hunt or if i am somewhere where i feel scared or heavy i simply say a protection prayer,worry
i couldn t wait to get bigger so i wouldn t feel so helpless,worry
i feel enraged at this cruel sick malicious and thoughtless existence that i am forced to live in day by day,hate
i feel a lot of bids i put in for work in for will get beaten on price and price alone,sadness
i wanted to hold her at least once to feel her sweet skin against my face,happiness
i feel it gives a lovely natural peachy flush,happiness
i feel disgusted and disappointed thinking back about it,hate
i feel strongly about gentle transitions and sleeping with company is comforting for him and for us as well when you think about it as we sleep alongside our spouses and not separately,happiness
i feel very very burdened by so many situations around me right now,sadness
im sorry for how bad i hurt your feelings that make you feel unloved and alone feeling afraid to love and trust again,sadness
i would feel loved,happiness
i should have known she likes kamiki kun he laughs nozomi feels an unpleasant knot in her stomach you must think i m a fool don t you nonchan,sadness
i don t want to feel anything i want to be numb,sadness
i could just picture it with it homely feel and also having the smell of books would just be totally amazing,surprise
i feel pretty weird blogging about deodorant but im a bit of a deodorant snob and find it really hard to find a good one,surprise
i am struck down by the disease i feel as if i am a fake a person who could not live his truth,sadness
i think about it and i feel disgusted with myself because i feel as though i haven t fought hard enough for myself,hate
i feel ashamed that i so readily turn it aside,sadness
i feel a worthless maid,sadness
"This place has a Chipotle feel but has more of that New Mexico Mexican food atmosphere. There food is okay and reasonably priced. Salsa really makes the food for me, and there salsa is just okay. I normally order there chicken quesadilla or get an enchilada and would recommend both.",neutral
i feel less weird about soliciting guys for them because well i am a guy i guess and i dont feel bad about exploiting them maybe,surprise
i just remember feeling so amazed that this little person and i am only a child was my new brother,surprise
i were a conservative i understand why i would feel suspicious that i was not going to get a fair break,worry
i can t help but feel proud to be a padres fan at this time,fun
i feel it and im unhappy,sadness
i hate chemo and the thought of having toxins washing through every single cell and making me feel horrible makes me cringe,sadness
i am also so grateful for and feeling very blessed,happiness
ive been having breakdowns again ive been feeling depressed and for the three four days i was sticking to my old sleeping pattern i was feeling pretty great not the best but better than normal,sadness
i feel like i get a lot of questions in my list of search phrases that point people here and sometimes i m awfully disturbed at the things that somehow bring my blog up in a search engine,sadness
i do decide to dip my toe in another genre it feels a little strange which is the case with my recent project,worry
i feel so blessed to be able to do this for them,happiness
i have good feeling about some folks while others make me a little hesitant,worry
i also feel i have accepted my dark side and am finally realizing what of my dark side is healthy,happiness
i couldnt bring myself to blog about it right away mostly because i feel absolutely humiliated and heart broken,sadness
"Zoozacrackers Deli inside the Wynn was the most feasible option for a dinner date before catching Le Reve because we only had 45 minutes to spare and Zoozacrackers is just a stone's throw away from the Wynn theater.   WYNN BURGER ($11): The entire meal is vegan. Literally the exact same menu option is offered at Society Cafe inside Encore for the same price, but with poorer presentation here (plastic cups instead of glass, etc.). This meal is the cheapest option on the menu because it comes with a chocolate milk shake and fries. Everything else on the menu is served a la carte. I asked for lettuce on my burger and they obliged. I happen to like the chocolate shake but my husband begged to differ. Smh. 3/5 PRO TIP: If you're going to order the Wynn burger, walk on over to Society Cafe for a way better experience!  ZOOZA BURGER ($15.49): Expensive for a burger, but my better half gave it his approval. It's pretty gigantic too, so at least you're getting your moneys worth. 4/5 FRIES ($3.99): Taste like Burger King fries (not necessarily a bad thing). 3/5  VIBE: Upscale Denny's minus the servers + counter service for ordering. I was surprised at how slammed this place was on a Sunday night at 9PM. It's connected to the Sportsbook.    SERVICE: It was near impossible to catch one of the servers for a refill. The option to go up to the registers and ask a cashier for a refill is an option but they were so busy tending to the never ending line of customers we didn't want to bother them. The Deli is pretty much self-serve.   Worth a Return Visit? Our grand total came to $37 and some change. I'm not planning on coming back, but if you're in a rush or are trying to keep your dining costs at a minimum while you're at the Wynn, Zoozacrackers Deli will do.  YELP 100 CHALLENGE 2015: #105",neutral
i feel shaky still typing is super tedious and i will be damned if this is the one morning my nephew wasnt up for work at the crack of dawn,worry
im feeling slightly offended,hate
i will admit that my title made me feel extremely clever gt lt anyway what to say about this,fun
i am feeling very gracious right now as well as excited about the fun times that will lay ahead for my time in wisconsin,happiness
i can wear anything and not feel bad,sadness
im tired of feeling troubled stressed up feeling down and falling sick,sadness
i feel a little bit emptier and ironically a little bit envious,hate
i just feel very reluctant to go back to aberdeen,worry
"I checked this place out because it was near where one of my best friends live. I was wary about it because I've been to similar looking sushi places and have had horrible results occur.  I was pleasantly surprised when we got to the menu.  I ordered:  Shitake Tempura -$6.00 - Sounded great, It was a bit of a letdown it lacked taste and there was little desire to finish the appetizer. Yam/Avocado Roll $5.00 - An interesting twist that isn't at all sushi locations. I saw it and had to try it. Well worth it. Salmon Tempura Rolls $6.00 - Not your standard Salmon Tempura roll but was pleasing. California Roll $6.00 - Standard California Roll, not bad at all. (Note: These prices are approximated)  It could have gone wrong, but it didn't. Definitely worth a look if you are in the Bay/Bloor area.",neutral
i feel sickened by and disgusted with the sins of man despite my divinity i feel sickened by and disgusted with the sins of man,hate
im feeling sorry for myself i think of miss jimmy who had nothing and yet was thankful for everything,sadness
i feel very honoured to make it to the final round of the youths awards,fun
i don t actually have physical arms around me i do have spiritual ones and i can feel them supporting me,happiness
i feel so tortured right now as i sit here head between my hands,worry
i forgot my passport and i realize that my stomach was feeling funny until i went to the washroom and understand that i was actually sick,surprise
i still struggle with feeling shame when i am scared,worry
i was in the first row of non monks with very clear view of him and very much feeling his compassionate presence,happiness
i wish them the best i cant help but feel apprehensive about it straylight run is better than taking back sunday ever was,worry
im feeling really weird,worry
i was feeling a little annoyed about the whole thing because we had a schedule and driving home first was going to really put a kink in it,hate
i feel a little irritable,hate
i was speaking with one of my girls recently about my angst with everything namely feeling restless with my career and feeling as though things weren t happening fast enough,worry
i feel like some of my prs are from charmed race scenarios as much as being better distances for me,fun
i was so i didn t feel intimidated by him,worry
"A lot of variety.    +++++ Cornbread also served warm and fresh  Spinach Dip - Love these with the fried Pita Chips, Good Portion and a lot of cheese :)  Wings - Plump, Juicy and Flavourful  Ribs - You can't go wrong especially when they give you the option AYCE everyday!!!   - - - -  The wait.  There's like 5 tables and there was still a wait on service.  BOO",neutral
i am feeling slutty then their goes your slut look,happiness
i feel impatient and like i must be doing something wrong,hate
i think secretly he gets some sort of satisfaction knowing i havent gotten over him and feel tortured because i could never have him,hate
i feel abit hopeless at times man darn itttt,sadness
i feel so heartless but im freaking out that i wont be able to get out to naperville tonight,hate
i started getting mixed emotions trust me all at one i was feeling excited scared nervous happy amp you name it,fun
i feel so blank and then like im going to explode,sadness
i feel a little hesitant like i dont know where to start walking it out,worry
i want to feel those talented hands,fun
i woke up feeling amazed and then i realized that a dream is still a dream,surprise
i believe once we re moved and i m back to working regularly the stress will subside but i still feel like i m not being faithful when i act this way,happiness
i usually feel agitated and anxious,hate
i feel so uptight and i feel like just blowing or just doing anything violent,worry
i feel really petrified to learn how far we have gone in our country said a year old civil servant ilze who previously had trouble making mortgage payments span style font family times new roman serif font size,worry
i cannot begin trying to understand how it must feel to be surprised by an earthquake or see the devastating pictures live to escape from a tsunami,surprise
i feel a bit embarrassed at times when i make mistakes,sadness
i feel pissed i can t afford to visit az but happy that my homies have jobs that offer them pay and that they are coming for a visit soon,hate
"This place is good. Not super, and not bad either. It's one place you can get good, standard Tex-Mex dishes that also has a full bar and seating. Margarita pitchers were good, as were the tacos. It was good, but next time will be checking out Le Tequila Bar or Itacate for comparison.",neutral
i feel resentful that i give him money each month than gives,hate
i feel fond of the ufc and the fans always debate over who is the better organization but as a fighter representing ufc i think ufc has the better fighters,happiness
i are feeling quite convinced that its a girl,fun
i left feeling pretty disappointed in my casting skills,sadness
i don t want to be a big head but i feel like i ve achieved quite a bit so far and im sure you have too,fun
im feeling generous heres one of my favorite rockabilly latino western swing bands the mavericks knocking over one of my favorites all you ever do is bring me down iframe width height src www,happiness
"I'm really torn about this place. Their food is a bit tastier than Sichuan Gourmet up the road (which was already pretty good), and they give better portions. For a while it was my go-to place for Sichuanese takeout. However, after a few disastrous take-out experiences I think I'm giving up.  A couple of weeks ago I placed my traditional order of Shredded Pork and Dry-fried Green Beans over the phone. They confirmed the price and time. However, when I picked up my order, they had substituted the Chinese menu shredded pork for the more expensive Americanized version. It was not good at all. However, I ordered by phone and can't really blame them for misunderstanding or ""misunderstanding"" an item with a similar name.  I decided to place orders on their website instead to remove any problems. For two orders this went great. It was ready for pickup on my way home from work, and the food was great. However, my most recent order was a disaster. When I got there to pick it up, the employee at the counter looked at me like I was nuts, insisting that they never got the order. I showed her the email, and she searched her desk. Finally she found the order, never sent to the kitchen, buried under some papers. She offered no apology and just said ""Wait 15 minutes."" Given I had placed the order 45 minutes ago, that wasn't going to happen. I said to cancel the order, and she just nodded and then turned around and started talking to the other employee next to her. That was it, not even a ""sorry."" Mistakes do happen, especially with printed orders. However, their dismissive way of handling it was really unfortunate.  I might go back to eat inside sometime soon because I love their food, but unfortunately given their level of service I don't think I can suggest ordering take-out.",neutral
i could feel it in my arms today they were a little tender,happiness
"Solid 3-star. Could be so much better, but ""A-OK"" for what it is. There are three sections: Asian, Dessert and regular Buffet-style.   Asian section had a small selection of sushi (which I didn't try), various hot items like pot stickers, pork buns, etc., fried and steamed rice, various noodle dishes, typical chinese items like beef w/veggie and Gen'l Chang's chicken. Large section of build-your-own-soup where you select the items you want in your soup and give it to someone (I didn't try this, either) to make the soup for you. A lot of people were getting this, so I'm guessing it's decent. Of the items from this section that I had the pork buns were mostly bun and very little pork .. but the pork that was in there was good. Pan fried dumplings were fine as were samosas.   In the regular buffet section, the prime rib was a bit disappointing. Not enough flavor. The fried chicken looked pretty good, but I didn't go back for it. Mashed potatoes w/gravy were good as was the mac & cheese (although it needed to have richer flavor, IMO). There were a lot of choices, but I wasn't in the mood for most of them, so I passed.   See .. I needed to save room for dessert. The dessert section is in the middle, so as I went to check out the Asian section, I saw what was waiting there and I knew I would not want to miss dessert.   Pineapple upside down cake? Ok. Chocolate fountain with marshmallows, macaroons and fruit for dipping? Certainly! Cotton damn candy .. wrapped? I'll take one to go. thankyouverymuch.  Sure. I feel like I need to boot after over-indulging, but it was worth it.",neutral
"This spot is my go-to place for studying. I love the place coz its soo chill. I absolutely looove their teas. I would rate this place a 5 star but today, however, i had to rate it a 3. The number one reason i come here is that they offer tea pots with refills on certain kinds. Since i study here for a few hours..the tea pots are awesome. But today they stopped selling em. So i was very disappointed. Paying $7 for a cup of tea that's not even refillable is a lil too much. For a refillable pot, i think $7 is worth it but not for a cup. I just hope they will sell them again.",neutral
i think a lot about that thing that i ultimately want and what it might feel like it has the mouthfeel and the weight of so many uncertain marbles,worry
i decide to tell you how i feel convinced that it s the best course of action for me in the long run,fun
i feel easily irritated and want everyone to leave me alone including my cats,hate
i know youre feeling vulnerable but dont let it affect your confidence,worry
This place is a decent steakhouse but there isn't anything too special about it. Pretty standard items on the menu but they do them well. Service is average for speed. Attention to requests is spotty. Hostess stand is usually slow.   Ambience is decently upscale. There is a bar area with TVs if you're looking to watch sports.  We generally come here for something close in the neighborhood but overall an average place with decent food.,neutral
i can t shake feeling that i m just a hamster on a wheel in a vicious human experiment,hate
im feeling naughty or im feeling extremely lonely,happiness
ive been meeting up many people since this semester but tonight at cinderalla i couldnt help but feeling sorrowful and down,sadness
i look at how well he takes care of me and i feel so blessed to know these babies are going to have the most amazing father in the world,fun
i found myself feeling slightly shaken reading this on sacred space as though my view point was being shifted,worry
i have to criticize the film in any way it s that on a repeat viewing a couple of the surprise jokes don t feel quite as humorous as they once were,fun
im not feeling fond of islam right now,happiness
